Date,Now,Open,High,Low,Volueme,Rate
2014-12-23,47.450,48.050,48.500,47.300,117,-1.66
2014-12-22,48.250,48.000,48.500,47.100,116,-0.52
2014-12-19,48.500,48.500,48.900,48.300,186,1.68
2014-12-18,47.700,47.600,47.700,47.000,146,2.14
2014-12-17,46.700,46.500,47.150,46.500,164,0.43
2014-12-16,46.500,47.150,47.300,45.900,248,-2.41
2014-12-15,47.650,47.100,47.850,46.950,118,0.21
2014-12-12,47.550,47.300,47.700,47.000,160,0.74
2014-12-11,47.200,48.300,48.400,47.100,267,-3.38
2014-12-10,48.850,49.100,49.600,48.550,157,-1.21
2014-12-09,49.450,48.800,49.950,48.550,277,1.64
2014-12-08,48.650,49.000,49.200,48.500,215,0.62
2014-12-05,48.350,48.800,49.150,48.100,127,-0.72
2014-12-04,48.700,48.600,48.800,48.150,144,1.35
2014-12-03,48.050,48.300,48.500,47.750,120,0.73
2014-12-02,47.700,47.850,48.000,47.300,103,-0.52
2014-12-01,47.950,48.050,48.500,47.800,136,-0.21
2014-11-28,48.050,48.050,48.600,47.700,113,0.42
2014-11-27,47.850,48.700,48.700,47.650,154,-1.54
2014-11-26,48.600,48.600,48.700,48.100,91016,0.21
2014-11-25,48.500,48.400,48.800,47.800,266,2.97
2014-11-24,47.100,47.250,47.300,46.800,141,1.40
2014-11-21,46.450,47.450,47.500,46.000,184,-1.69
2014-11-20,47.250,47.000,47.350,46.700,110,0.21
2014-11-19,47.150,47.400,47.500,46.900,181,1.62
2014-11-18,46.400,46.500,47.150,46.000,276,1.09
2014-11-17,45.900,49.200,49.350,45.700,545,-6.71
2014-11-14,49.200,48.500,49.200,47.900,201,2.29
2014-11-13,48.100,48.350,48.350,47.600,142,0.00
2014-11-12,48.100,47.900,48.300,47.300,196,1.05
2014-11-11,47.600,48.000,48.000,47.200,155,0.11
2014-11-10,47.550,47.500,48.100,47.450,157,0.32
2014-11-07,47.400,47.950,47.950,47.000,162,-1.15
2014-11-06,47.950,47.750,48.200,47.550,155,1.59
2014-11-05,47.200,47.850,47.950,46.900,161,-0.53
2014-11-04,47.450,48.300,48.300,47.000,187,-1.25
2014-11-03,48.050,48.000,48.250,47.600,238,1.26
2014-10-31,47.450,47.550,47.550,46.900,250,0.53
2014-10-30,47.200,47.300,47.450,46.400,292,0.43
2014-10-29,47.000,46.350,47.000,45.800,263,2.17
2014-10-28,46.000,45.150,46.100,45.000,282,3.14
2014-10-27,44.600,45.800,45.900,44.400,172,-1.55
2014-10-24,45.300,46.450,46.500,45.050,220,-0.44
2014-10-23,45.500,46.300,46.800,45.500,181,-1.73
2014-10-22,46.300,46.250,46.700,45.900,242,2.32
2014-10-21,45.250,45.050,46.000,44.650,200,0.78
2014-10-20,44.900,44.100,45.050,43.550,178,1.81
2014-10-17,44.100,45.000,45.750,43.650,276,-2.22
2014-10-16,45.100,43.500,45.200,43.450,340,3.92
2014-10-15,43.400,43.200,44.000,43.000,236,0.23
2014-10-14,43.300,41.750,43.450,41.550,294,3.84
2014-10-13,41.700,40.350,42.150,40.300,435,-1.18
2014-10-10,42.200,42.050,42.950,41.850,462,-4.42
2014-10-08,44.150,44.500,44.850,43.600,204,-1.23
2014-10-07,44.700,44.500,45.350,42.950,564,0.00
2014-10-06,44.700,47.850,47.850,43.250,726,-5.10
2014-10-02,47.100,46.000,47.300,45.700,295,1.51
2014-10-01,46.400,46.750,47.200,46.000,209,-0.75
2014-09-30,46.750,46.900,47.300,46.250,298,-0.85
2014-09-29,47.150,46.500,47.450,46.350,489,3.40
2014-09-26,45.600,44.500,45.800,44.300,315,2.24
2014-09-25,44.600,44.400,45.450,44.350,321,0.90
2014-09-24,44.200,42.550,44.400,42.500,392,4.00
2014-09-23,42.500,42.900,43.550,42.500,220,-1.73
2014-09-22,43.250,43.550,43.700,42.850,147,-1.70
2014-09-19,44.000,43.400,44.200,43.200,254,2.56
2014-09-18,42.900,43.800,44.100,42.800,174,-2.72
2014-09-17,44.100,43.850,44.450,43.650,257,1.38
2014-09-16,43.500,42.300,43.600,42.300,224,1.64
2014-09-15,42.800,44.300,44.400,42.800,236,-3.82
2014-09-12,44.500,44.200,44.550,44.050,144,1.48
2014-09-11,43.850,45.700,45.700,43.850,570,1.50
2014-09-05,43.200,42.600,43.300,42.500,306,2.73
2014-09-04,42.050,42.450,42.850,41.950,373,0.60
2014-09-03,41.800,43.450,43.750,41.700,811,-5.11
2014-09-02,44.050,44.700,44.950,43.850,217,-1.01
2014-09-01,44.500,45.700,45.800,44.500,186,-1.98
2014-08-29,45.400,45.100,45.700,45.000,216,-0.44
2014-08-28,45.600,45.600,45.650,44.400,351,0.55
2014-08-27,45.350,46.700,47.000,45.150,385,-2.89
2014-08-26,46.700,47.150,47.300,46.550,210,-0.95
2014-08-25,47.150,45.850,47.300,45.700,298,2.61
2014-08-22,45.950,46.700,46.750,45.350,272,0.22
2014-08-21,45.850,45.800,46.350,45.400,468,1.10
2014-08-20,45.350,44.150,45.350,44.100,376,3.54
2014-08-19,43.800,44.250,44.550,43.800,293,-0.11
2014-08-18,43.850,44.400,44.400,43.650,274,0.69
2014-08-14,43.550,44.500,44.800,43.200,379,-0.80
2014-08-13,43.900,43.600,44.450,43.500,384,1.50
2014-08-12,43.250,45.000,45.150,43.050,522,-3.89
2014-08-11,45.000,44.900,45.550,44.500,300,1.81
2014-08-08,44.200,44.500,45.000,43.500,617,-2.21
2014-08-07,45.200,45.700,46.100,44.650,384,-0.44
2014-08-06,45.400,46.750,46.800,45.050,540,-4.02
2014-08-05,47.300,48.250,48.300,46.500,340,-1.15
2014-08-04,47.850,46.400,47.900,46.350,322,3.35
2014-08-01,46.300,44.100,46.400,44.000,485,1.87
2014-07-31,45.450,46.050,46.500,45.100,553,-2.78
2014-07-30,46.750,45.000,46.750,45.000,613,5.29
2014-07-29,44.400,45.200,45.700,44.400,847,-4.62
2014-07-28,46.550,47.450,47.950,46.400,492,-2.00
2014-07-25,47.500,47.800,48.300,47.200,438,-0.11
2014-07-24,47.550,49.650,49.700,47.450,772,-3.84
2014-07-23,49.450,50.900,51.000,49.400,284,-3.04
2014-07-22,51.000,50.100,51.000,49.650,232,0.99
2014-07-21,50.500,51.300,51.700,50.300,162,-0.59
2014-07-18,50.800,50.200,51.100,49.900,233,-1.36
2014-07-17,51.500,51.600,52.400,51.300,361,0.98
2014-07-16,51.000,50.000,51.000,49.900,231,2.51
2014-07-15,49.750,50.300,50.400,49.550,176,0.81
2014-07-14,49.350,49.250,50.200,49.100,207,0.82
2014-07-11,48.950,48.950,49.250,48.350,243,-0.71
2014-07-10,49.300,49.750,50.300,49.300,264,-0.90
2014-07-09,49.750,51.500,51.500,49.600,489,-4.14
2014-07-08,51.900,51.300,52.000,51.100,219,0.58
2014-07-07,51.600,50.400,51.700,49.900,221,2.38
2014-07-04,50.400,51.000,51.000,49.550,225,-0.98
